# min-bisection SDP  problem=/n/home08/haoransun/spectra_deflation/defadmm/data/G60_mb.sdp n=7000 m=7001 F0_nnz=24105  mode=deflated16 sigma=1 eta_tol=0 window=0.025 gamma=1.1 symmetrize=1  ||C||_F=1.213724e+02
# iter  pinf        dinf        gap         eta         obj_primal      obj_dual        proj_ms  cum_proj_s  deflated  eps_sym_raw  eps_sym_used
  1125  2.1055e-01  2.3751e-03  2.2695e-02  2.1055e-01  +2.08067246e+03  +2.17733244e+03     46.12     49.405  153  0.000e+00  0.000e+00
  1150  2.4917e-01  2.3122e-03  2.1975e-02  2.4917e-01  +2.07862391e+03  +2.17205548e+03     44.73     50.533  151  0.000e+00  0.000e+00
  1175  2.0738e-01  2.2875e-03  2.2287e-02  2.0738e-01  +2.07675390e+03  +2.17145748e+03     44.89     51.657  150  0.000e+00  0.000e+00
# track it=1200 fired=1 fired_exact=1 k_ritz=147 k_ritz_pos=0 k_ritz_neg=147 k_exact=147 k_exact_pos=0 k_exact_neg=147 pairs=147 eig_err=7.633e-08 s1_ritz=9.774586e+01 s1_exact=9.774586e+01 ckpt_ms=354.9
  1200  2.4254e-01  2.2643e-03  2.1725e-02  2.4254e-01  +2.07493419e+03  +2.16711468e+03     43.54     52.776  147  0.000e+00  0.000e+00
  1225  2.5290e-01  2.2210e-03  2.1655e-02  2.5290e-01  +2.07311381e+03  +2.16491152e+03     44.73     53.901  146  0.000e+00  0.000e+00
# gate it=1250 k=350 kw=175 s1=9.992e+01 s_kw/s1=2.754e-02 fired=1 clipped_neg=146 clipped_pos=0 fired_frac_last250=1.000
# deflate it=1250 alpha=1.359e+01 theta=9.992e+00 clipped_neg=146 clipped_pos=0
  1250  2.0545e-01  2.1864e-03  2.1812e-02  2.0545e-01  +2.07126395e+03  +2.16365880e+03     44.28     55.021  146  0.000e+00  0.000e+00
  1275  2.0618e-01  2.1568e-03  2.1181e-02  2.0618e-01  +2.06955692e+03  +2.15914594e+03     44.53     56.144  145  0.000e+00  0.000e+00
# track it=1300 fired=1 fired_exact=1 k_ritz=143 k_ritz_pos=0 k_ritz_neg=143 k_exact=143 k_exact_pos=0 k_exact_neg=143 pairs=143 eig_err=3.706e-08 s1_ritz=1.020645e+02 s1_exact=1.020645e+02 ckpt_ms=355.4
  1300  1.9635e-01  2.1246e-03  2.1239e-02  1.9635e-01  +2.06793239e+03  +2.15770367e+03     43.88     57.262  143  0.000e+00  0.000e+00
  1325  2.2242e-01  2.1111e-03  2.1199e-02  2.2242e-01  +2.06623938e+03  +2.15576277e+03     44.17     58.381  141  0.000e+00  0.000e+00
  1350  1.9216e-01  2.0801e-03  2.0569e-02  1.9216e-01  +2.06459171e+03  +2.15132863e+03     45.51     59.504  140  0.000e+00  0.000e+00
  1375  1.9277e-01  2.0484e-03  2.0842e-02  1.9277e-01  +2.06315477e+03  +2.15100619e+03     44.67     60.630  138  0.000e+00  0.000e+00
# track it=1400 fired=1 fired_exact=1 k_ritz=137 k_ritz_pos=0 k_ritz_neg=137 k_exact=137 k_exact_pos=0 k_exact_neg=137 pairs=137 eig_err=4.784e-08 s1_ritz=1.062265e+02 s1_exact=1.062265e+02 ckpt_ms=355.0
  1400  2.1707e-01  2.0304e-03  2.0442e-02  2.1707e-01  +2.06169465e+03  +2.14776625e+03     43.78     61.756  137  0.000e+00  0.000e+00
  1425  2.2124e-01  2.0047e-03  2.0549e-02  2.2124e-01  +2.06026291e+03  +2.14673440e+03     44.35     62.878  136  0.000e+00  0.000e+00
  1450  2.0622e-01  1.9717e-03  2.0126e-02  2.0622e-01  +2.05875272e+03  +2.14334576e+03     44.75     63.997  134  0.000e+00  0.000e+00
  1475  1.8337e-01  1.9537e-03  1.9875e-02  1.8337e-01  +2.05742112e+03  +2.14088361e+03     44.86     65.118  133  0.000e+00  0.000e+00
# gate it=1500 k=350 kw=175 s1=1.102e+02 s_kw/s1=2.363e-02 fired=1 clipped_neg=132 clipped_pos=0 fired_frac_last250=1.000
# track it=1500 fired=1 fired_exact=1 k_ritz=132 k_ritz_pos=0 k_ritz_neg=132 k_exact=132 k_exact_pos=0 k_exact_neg=132 pairs=132 eig_err=4.321e-08 s1_ritz=1.102494e+02 s1_exact=1.102494e+02 ckpt_ms=354.8
# deflate it=1500 alpha=1.517e+01 theta=1.102e+01 clipped_neg=132 clipped_pos=0
  1500  1.7739e-01  1.9293e-03  1.9958e-02  1.7739e-01  +2.05605711e+03  +2.13981669e+03     43.51     66.241  132  0.000e+00  0.000e+00
  1525  2.0863e-01  1.8939e-03  1.9598e-02  2.0863e-01  +2.05465110e+03  +2.13681693e+03     45.45     67.363  130  0.000e+00  0.000e+00
  1550  1.7116e-01  1.8819e-03  1.9445e-02  1.7116e-01  +2.05353627e+03  +2.13500190e+03     44.12     68.486  128  0.000e+00  0.000e+00
  1575  2.2710e-01  1.8694e-03  1.9421e-02  2.2710e-01  +2.05231799e+03  +2.13363329e+03     45.29     69.608  128  0.000e+00  0.000e+00
# track it=1600 fired=1 fired_exact=1 k_ritz=127 k_ritz_pos=0 k_ritz_neg=127 k_exact=127 k_exact_pos=0 k_exact_neg=127 pairs=127 eig_err=2.947e-08 s1_ritz=1.141468e+02 s1_exact=1.141468e+02 ckpt_ms=356.5
  1600  1.6616e-01  1.8199e-03  1.9254e-02  1.6616e-01  +2.05091692e+03  +2.13146391e+03     43.86     70.735  127  0.000e+00  0.000e+00
  1625  2.1663e-01  1.8206e-03  1.9108e-02  2.1663e-01  +2.04979461e+03  +2.12967517e+03     45.15     71.856  125  0.000e+00  0.000e+00
  1650  1.5878e-01  1.8277e-03  1.9269e-02  1.5878e-01  +2.04861871e+03  +2.12913744e+03     45.10     72.978  123  0.000e+00  0.000e+00
  1675  1.6077e-01  1.8233e-03  1.9304e-02  1.6077e-01  +2.04754930e+03  +2.12817545e+03     44.81     74.100  122  0.000e+00  0.000e+00
# track it=1700 fired=1 fired_exact=1 k_ritz=121 k_ritz_pos=0 k_ritz_neg=121 k_exact=121 k_exact_pos=0 k_exact_neg=121 pairs=121 eig_err=2.689e-08 s1_ritz=1.179429e+02 s1_exact=1.179429e+02 ckpt_ms=354.2
  1700  1.6157e-01  1.7894e-03  1.9388e-02  1.6157e-01  +2.04632489e+03  +2.12726035e+03     43.90     75.221  121  0.000e+00  0.000e+00
  1725  2.1338e-01  1.7692e-03  1.9202e-02  2.1338e-01  +2.04535776e+03  +2.12546429e+03     45.24     76.338  121  0.000e+00  0.000e+00
# gate it=1750 k=350 kw=175 s1=1.198e+02 s_kw/s1=2.152e-02 fired=1 clipped_neg=121 clipped_pos=0 fired_frac_last250=1.000
# deflate it=1750 alpha=1.541e+01 theta=1.198e+01 clipped_neg=121 clipped_pos=0
  1750  1.6314e-01  1.7398e-03  1.8578e-02  1.6314e-01  +2.04415949e+03  +2.12156857e+03     44.23     77.459  121  0.000e+00  0.000e+00
  1775  2.0003e-01  1.7278e-03  1.8748e-02  2.0003e-01  +2.04316557e+03  +2.12125693e+03     44.88     78.578  120  0.000e+00  0.000e+00
