# max-cut SDP  problem=/n/home08/haoransun/spectra_deflation/defadmm/data/G60mc.sdp n=7000 m=7000 F0_nnz=24105  mode=deflated16 sigma=1 eta_tol=0 window=0.025 gamma=1.1 symmetrize=1  ||C||_F=2.427447e+02
# iter  pinf        dinf        gap         eta         obj_primal      obj_dual        proj_ms  cum_proj_s  deflated  eps_sym_raw  eps_sym_used
# track it=1800 fired=1 fired_exact=1 k_ritz=80 k_ritz_pos=0 k_ritz_neg=80 k_exact=80 k_exact_pos=0 k_exact_neg=80 pairs=80 eig_err=1.807e-08 s1_ritz=1.841927e+02 s1_exact=1.841927e+02 ckpt_ms=356.0
  1800  6.5664e-04  1.0783e-03  1.8106e-03  1.8106e-03  -3.03053661e+04  -3.01958193e+04     44.03     81.225  80  0.000e+00  0.000e+00
  1825  6.3602e-04  1.0637e-03  1.9412e-03  1.9412e-03  -3.03103407e+04  -3.01928904e+04     45.28     82.352  80  0.000e+00  0.000e+00
  1850  6.0107e-04  1.0569e-03  1.7763e-03  1.7763e-03  -3.03086350e+04  -3.02011476e+04     45.54     83.484  79  0.000e+00  0.000e+00
  1875  6.4802e-04  1.0265e-03  1.8750e-03  1.8750e-03  -3.03137764e+04  -3.02003120e+04     44.86     84.620  79  0.000e+00  0.000e+00
# track it=1900 fired=1 fired_exact=1 k_ritz=78 k_ritz_pos=0 k_ritz_neg=78 k_exact=78 k_exact_pos=0 k_exact_neg=78 pairs=78 eig_err=2.146e-08 s1_ritz=1.896435e+02 s1_exact=1.896435e+02 ckpt_ms=356.8
  1900  6.2642e-04  1.0337e-03  1.7113e-03  1.7113e-03  -3.03108914e+04  -3.02073244e+04     43.79     85.750  78  0.000e+00  0.000e+00
  1925  6.4715e-04  1.0244e-03  1.8372e-03  1.8372e-03  -3.03155903e+04  -3.02044033e+04     44.93     86.875  77  0.000e+00  0.000e+00
  1950  6.1461e-04  1.0123e-03  1.7450e-03  1.7450e-03  -3.03146951e+04  -3.02090795e+04     44.71     88.010  77  0.000e+00  0.000e+00
  1975  6.4013e-04  9.9659e-04  1.8027e-03  1.8027e-03  -3.03175279e+04  -3.02084176e+04     44.98     89.140  77  0.000e+00  0.000e+00
# gate it=2000 k=350 kw=175 s1=1.949e+02 s_kw/s1=2.555e-02 fired=1 clipped_neg=77 clipped_pos=0 fired_frac_last250=1.000
# track it=2000 fired=1 fired_exact=1 k_ritz=77 k_ritz_pos=0 k_ritz_neg=77 k_exact=77 k_exact_pos=0 k_exact_neg=77 pairs=77 eig_err=2.136e-08 s1_ritz=1.949474e+02 s1_exact=1.949474e+02 ckpt_ms=355.7
# deflate it=2000 alpha=2.430e+01 theta=1.949e+01 clipped_neg=77 clipped_pos=0
  2000  6.5482e-04  9.8507e-04  1.7165e-03  1.7165e-03  -3.03174528e+04  -3.02135470e+04     43.95     90.277  77  0.000e+00  0.000e+00
  2025  6.5368e-04  9.9630e-04  1.7474e-03  1.7474e-03  -3.03186532e+04  -3.02128815e+04     44.59     91.406  76  0.000e+00  0.000e+00
  2050  6.5127e-04  9.7941e-04  1.7569e-03  1.7569e-03  -3.03215034e+04  -3.02151453e+04     45.21     92.541  75  0.000e+00  0.000e+00
  2075  6.5878e-04  9.6864e-04  1.6877e-03  1.6877e-03  -3.03207414e+04  -3.02185650e+04     46.67     93.678  75  0.000e+00  0.000e+00
# track it=2100 fired=1 fired_exact=1 k_ritz=74 k_ritz_pos=0 k_ritz_neg=74 k_exact=74 k_exact_pos=0 k_exact_neg=74 pairs=74 eig_err=1.677e-08 s1_ritz=2.001125e+02 s1_exact=2.001125e+02 ckpt_ms=356.3
  2100  6.6542e-04  9.8791e-04  1.6998e-03  1.6998e-03  -3.03224485e+04  -3.02195369e+04     44.00     94.810  74  0.000e+00  0.000e+00
  2125  6.7195e-04  9.6480e-04  1.6693e-03  1.6693e-03  -3.03246503e+04  -3.02235782e+04     45.11     95.939  74  0.000e+00  0.000e+00
  2150  6.4297e-04  9.6732e-04  1.6694e-03  1.6694e-03  -3.03231987e+04  -3.02221254e+04     45.13     97.073  73  0.000e+00  0.000e+00
  2175  6.7849e-04  9.4578e-04  1.6514e-03  1.6514e-03  -3.03274776e+04  -3.02274766e+04     45.53     98.203  73  0.000e+00  0.000e+00
# track it=2200 fired=1 fired_exact=1 k_ritz=72 k_ritz_pos=0 k_ritz_neg=72 k_exact=72 k_exact_pos=0 k_exact_neg=72 pairs=72 eig_err=1.878e-08 s1_ritz=2.051258e+02 s1_exact=2.051258e+02 ckpt_ms=356.4
  2200  6.7554e-04  9.5071e-04  1.5751e-03  1.5751e-03  -3.03258317e+04  -3.02304463e+04     44.15     99.332  72  0.000e+00  0.000e+00
  2225  6.7453e-04  9.5347e-04  1.6774e-03  1.6774e-03  -3.03285096e+04  -3.02269302e+04     45.75    100.457  71  0.000e+00  0.000e+00
# gate it=2250 k=350 kw=175 s1=2.076e+02 s_kw/s1=2.390e-02 fired=1 clipped_neg=71 clipped_pos=0 fired_frac_last250=1.000
# deflate it=2250 alpha=2.832e+01 theta=2.076e+01 clipped_neg=71 clipped_pos=0
  2250  7.0573e-04  9.4614e-04  1.5910e-03  1.5910e-03  -3.03289292e+04  -3.02325754e+04     44.93    101.591  71  0.000e+00  0.000e+00
  2275  7.1063e-04  9.4978e-04  1.6860e-03  1.6860e-03  -3.03294869e+04  -3.02273864e+04     45.12    102.728  71  0.000e+00  0.000e+00
# track it=2300 fired=1 fired_exact=1 k_ritz=70 k_ritz_pos=0 k_ritz_neg=70 k_exact=70 k_exact_pos=0 k_exact_neg=70 pairs=70 eig_err=1.640e-08 s1_ritz=2.100419e+02 s1_exact=2.100419e+02 ckpt_ms=356.4
  2300  7.1865e-04  9.2414e-04  1.6002e-03  1.6002e-03  -3.03327881e+04  -3.02358675e+04     44.24    103.862  70  0.000e+00  0.000e+00
