# min-bisection SDP  problem=data/G60_mb.sdp n=7000 m=7001 F0_nnz=24105  mode=baseline16 sigma=1 eta_tol=0 window=0.025 gamma=1.1 symmetrize=1  ||C||_F=1.213724e+02
# iter  pinf        dinf        gap         eta         obj_primal      obj_dual        proj_ms  cum_proj_s  deflated  eps_sym_raw  eps_sym_used
   925  2.5915e-01  4.6119e-03  2.3587e-02  2.5915e-01  +2.09930149e+03  +2.20074993e+03     38.49     36.740  0  0.000e+00  0.000e+00
   950  2.4715e-01  4.6344e-03  2.2824e-02  2.4715e-01  +2.09662768e+03  +2.19459233e+03     39.94     37.723  0  0.000e+00  0.000e+00
   975  2.2328e-01  4.5986e-03  2.3562e-02  2.2328e-01  +2.09393350e+03  +2.19501199e+03     38.08     39.423  0  0.000e+00  0.000e+00
  1000  2.3223e-01  4.6222e-03  2.2609e-02  2.3223e-01  +2.09119898e+03  +2.18796836e+03     40.35     40.403  0  0.000e+00  0.000e+00
  1025  2.0060e-01  4.5595e-03  2.2703e-02  2.0060e-01  +2.08888622e+03  +2.18596016e+03     38.72     41.389  0  0.000e+00  0.000e+00
  1050  1.9974e-01  4.5482e-03  2.1963e-02  1.9974e-01  +2.08660677e+03  +2.18034420e+03     38.99     42.369  0  0.000e+00  0.000e+00
  1075  2.0960e-01  4.5370e-03  2.2419e-02  2.0960e-01  +2.08417981e+03  +2.17979550e+03     39.27     43.359  0  0.000e+00  0.000e+00
  1100  2.2401e-01  4.5032e-03  2.1697e-02  2.2401e-01  +2.08210241e+03  +2.17447722e+03     38.56     44.350  0  0.000e+00  0.000e+00
  1125  2.2913e-01  4.5136e-03  2.1942e-02  2.2913e-01  +2.07983287e+03  +2.17317595e+03     39.15     45.341  0  0.000e+00  0.000e+00
  1150  2.3620e-01  4.4833e-03  2.0771e-02  2.3620e-01  +2.07776268e+03  +2.16592860e+03     38.92     46.331  0  0.000e+00  0.000e+00
  1175  2.2492e-01  4.4911e-03  2.0482e-02  2.2492e-01  +2.07588554e+03  +2.16272273e+03     41.11     47.319  0  0.000e+00  0.000e+00
  1200  2.1840e-01  4.4977e-03  2.1336e-02  2.1840e-01  +2.07370828e+03  +2.16414942e+03     41.16     48.313  0  0.000e+00  0.000e+00
  1225  2.0723e-01  4.4869e-03  1.9723e-02  2.0723e-01  +2.07201613e+03  +2.15541277e+03     39.73     49.296  0  0.000e+00  0.000e+00
  1250  1.8774e-01  4.4659e-03  2.0257e-02  1.8774e-01  +2.07014257e+03  +2.15576659e+03     38.96     50.284  0  0.000e+00  0.000e+00
  1275  1.7317e-01  4.4473e-03  2.0078e-02  1.7317e-01  +2.06826586e+03  +2.15304267e+03     39.45     51.272  0  0.000e+00  0.000e+00
  1300  1.6223e-01  4.4410e-03  1.9260e-02  1.6223e-01  +2.06662021e+03  +2.14781122e+03     39.31     52.257  0  0.000e+00  0.000e+00
  1325  1.6293e-01  4.4253e-03  1.9921e-02  1.6293e-01  +2.06497964e+03  +2.14894406e+03     39.00     53.246  0  0.000e+00  0.000e+00
  1350  1.6875e-01  4.4557e-03  1.9107e-02  1.6875e-01  +2.06312768e+03  +2.14352394e+03     40.42     54.239  0  0.000e+00  0.000e+00
  1375  1.6532e-01  4.4476e-03  1.9366e-02  1.6532e-01  +2.06183756e+03  +2.14329390e+03     38.81     55.231  0  0.000e+00  0.000e+00
  1400  1.6008e-01  4.3844e-03  1.9592e-02  1.6008e-01  +2.06012282e+03  +2.14248143e+03     38.72     56.217  0  0.000e+00  0.000e+00
  1425  1.5935e-01  4.3404e-03  1.7848e-02  1.5935e-01  +2.05863308e+03  +2.13347088e+03     38.47     57.209  0  0.000e+00  0.000e+00
  1450  1.5134e-01  4.3365e-03  1.8420e-02  1.5134e-01  +2.05731158e+03  +2.13454545e+03     40.01     58.198  0  0.000e+00  0.000e+00
  1475  1.5613e-01  4.3234e-03  1.8268e-02  1.5613e-01  +2.05546525e+03  +2.13197776e+03     39.80     59.194  0  0.000e+00  0.000e+00
  1500  1.5796e-01  4.3053e-03  1.8113e-02  1.5796e-01  +2.05436085e+03  +2.13017370e+03     38.65     60.186  0  0.000e+00  0.000e+00
  1525  1.6600e-01  4.2872e-03  1.7788e-02  1.6600e-01  +2.05287855e+03  +2.12725386e+03     39.27     61.174  0  0.000e+00  0.000e+00
  1550  1.6686e-01  4.2892e-03  1.7646e-02  1.6686e-01  +2.05163636e+03  +2.12536232e+03     40.30     62.159  0  0.000e+00  0.000e+00
  1575  1.6923e-01  4.2820e-03  1.7099e-02  1.6923e-01  +2.05035655e+03  +2.12171155e+03     39.42     63.148  0  0.000e+00  0.000e+00
  1600  1.6470e-01  4.2564e-03  1.7482e-02  1.6470e-01  +2.04897768e+03  +2.12191023e+03     39.56     64.135  0  0.000e+00  0.000e+00
  1625  1.6419e-01  4.2921e-03  1.7494e-02  1.6419e-01  +2.04787415e+03  +2.12081999e+03     38.60     65.124  0  0.000e+00  0.000e+00
  1650  1.6088e-01  4.2828e-03  1.7471e-02  1.6088e-01  +2.04653502e+03  +2.11933540e+03     40.17     66.115  0  0.000e+00  0.000e+00
  1675  1.5009e-01  4.2829e-03  1.7415e-02  1.5009e-01  +2.04517961e+03  +2.11769404e+03     41.16     67.106  0  0.000e+00  0.000e+00
  1700  1.4575e-01  4.2528e-03  1.7650e-02  1.4575e-01  +2.04420316e+03  +2.11767724e+03     40.22     68.097  0  0.000e+00  0.000e+00
  1725  1.3895e-01  4.2654e-03  1.6074e-02  1.3895e-01  +2.04315115e+03  +2.10992492e+03     40.74     69.090  0  0.000e+00  0.000e+00
  1750  1.3050e-01  4.2734e-03  1.8329e-02  1.3050e-01  +2.04178384e+03  +2.11804645e+03     40.65     70.077  0  0.000e+00  0.000e+00
  1775  1.3781e-01  4.2743e-03  1.6063e-02  1.3781e-01  +2.04087674e+03  +2.10752898e+03     38.22     71.063  0  0.000e+00  0.000e+00
  1800  1.3664e-01  4.2889e-03  1.7411e-02  1.3664e-01  +2.03972710e+03  +2.11203212e+03     38.61     72.054  0  0.000e+00  0.000e+00
  1825  1.3607e-01  4.2993e-03  1.6480e-02  1.3607e-01  +2.03854592e+03  +2.10687848e+03     39.96     73.042  0  0.000e+00  0.000e+00
  1850  1.3339e-01  4.3016e-03  1.6724e-02  1.3339e-01  +2.03765096e+03  +2.10698199e+03     40.15     74.030  0  0.000e+00  0.000e+00
  1875  1.3845e-01  4.3204e-03  1.6202e-02  1.3845e-01  +2.03652697e+03  +2.10362031e+03     40.88     75.026  0  0.000e+00  0.000e+00
  1900  1.3133e-01  4.3199e-03  1.6488e-02  1.3133e-01  +2.03565500e+03  +2.10392492e+03     39.89     76.013  0  0.000e+00  0.000e+00
  1925  1.2989e-01  4.3288e-03  1.5373e-02  1.2989e-01  +2.03460689e+03  +2.09815499e+03     38.62     76.997  0  0.000e+00  0.000e+00
  1950  1.2467e-01  4.3527e-03  1.6088e-02  1.2467e-01  +2.03370422e+03  +2.10022502e+03     40.06     77.992  0  0.000e+00  0.000e+00
  1975  1.2257e-01  4.3351e-03  1.5557e-02  1.2257e-01  +2.03257716e+03  +2.09683490e+03     38.46     78.985  0  0.000e+00  0.000e+00
  2000  1.2986e-01  4.3614e-03  1.5338e-02  1.2986e-01  +2.03199459e+03  +2.09531296e+03     38.64     79.972  0  0.000e+00  0.000e+00
  2025  1.4217e-01  4.3628e-03  1.5609e-02  1.4217e-01  +2.03071744e+03  +2.09513206e+03     39.65     80.953  0  0.000e+00  0.000e+00
  2050  1.4021e-01  4.3440e-03  1.4786e-02  1.4021e-01  +2.03007701e+03  +2.09102468e+03     40.08     81.942  0  0.000e+00  0.000e+00
  2075  1.4496e-01  4.3056e-03  1.5629e-02  1.4496e-01  +2.02891744e+03  +2.09335828e+03     38.23     82.997  0  0.000e+00  0.000e+00
  2100  1.6464e-01  4.2944e-03  1.4281e-02  1.6464e-01  +2.02835774e+03  +2.08714563e+03     40.39     83.991  0  0.000e+00  0.000e+00
  2125  1.6669e-01  4.2961e-03  1.4294e-02  1.6669e-01  +2.02730548e+03  +2.08611880e+03     39.56     84.981  0  0.000e+00  0.000e+00
  2150  1.6548e-01  4.2852e-03  1.4126e-02  1.6548e-01  +2.02663862e+03  +2.08473089e+03     38.11     86.054  0  0.000e+00  0.000e+00
  2175  1.7065e-01  4.3246e-03  1.4881e-02  1.7065e-01  +2.02562709e+03  +2.08683755e+03     38.80     87.045  0  0.000e+00  0.000e+00
  2200  1.6875e-01  4.3049e-03  1.3784e-02  1.6875e-01  +2.02502261e+03  +2.08164106e+03     38.60     88.032  0  0.000e+00  0.000e+00
  2225  1.6824e-01  4.3076e-03  1.4649e-02  1.6824e-01  +2.02410769e+03  +2.08430752e+03     40.76     89.016  0  0.000e+00  0.000e+00
  2250  1.7315e-01  4.2892e-03  1.3710e-02  1.7315e-01  +2.02331130e+03  +2.07957537e+03     38.42     89.999  0  0.000e+00  0.000e+00
  2275  1.7477e-01  4.2931e-03  1.4043e-02  1.7477e-01  +2.02261268e+03  +2.08024321e+03     38.95     90.986  0  0.000e+00  0.000e+00
  2300  1.7230e-01  4.2685e-03  1.3739e-02  1.7230e-01  +2.02189394e+03  +2.07823905e+03     39.19     91.970  0  0.000e+00  0.000e+00
  2325  1.7003e-01  4.2969e-03  1.3498e-02  1.7003e-01  +2.02106387e+03  +2.07638581e+03     38.63     92.958  0  0.000e+00  0.000e+00
  2350  1.6819e-01  4.2797e-03  1.3964e-02  1.6819e-01  +2.02029018e+03  +2.07752776e+03     40.27     93.955  0  0.000e+00  0.000e+00
  2375  1.5959e-01  4.3171e-03  1.3827e-02  1.5959e-01  +2.01965025e+03  +2.07629837e+03     38.54     94.940  0  0.000e+00  0.000e+00
  2400  1.5329e-01  4.3210e-03  1.3373e-02  1.5329e-01  +2.01884600e+03  +2.07358714e+03     40.78     95.930  0  0.000e+00  0.000e+00
  2425  1.4936e-01  4.3528e-03  1.3713e-02  1.4936e-01  +2.01817919e+03  +2.07431296e+03     38.73     96.924  0  0.000e+00  0.000e+00
  2450  1.4547e-01  4.3747e-03  1.2948e-02  1.4547e-01  +2.01734967e+03  +2.07028952e+03     40.17     97.909  0  0.000e+00  0.000e+00
  2475  1.3856e-01  4.3838e-03  1.4313e-02  1.3856e-01  +2.01678207e+03  +2.07536871e+03     40.26     98.894  0  0.000e+00  0.000e+00
  2500  1.2907e-01  4.3613e-03  1.2457e-02  1.2907e-01  +2.01603585e+03  +2.06691015e+03     39.14     99.886  0  0.000e+00  0.000e+00
  2525  1.1875e-01  4.3991e-03  1.3765e-02  1.1875e-01  +2.01546732e+03  +2.07174126e+03     40.16    100.879  0  0.000e+00  0.000e+00
  2550  1.0708e-01  4.4065e-03  1.2965e-02  1.0708e-01  +2.01471422e+03  +2.06765600e+03     39.07    101.870  0  0.000e+00  0.000e+00
  2575  9.8975e-02  4.4144e-03  1.3806e-02  9.8975e-02  +2.01410083e+03  +2.07050603e+03     40.08    102.865  0  0.000e+00  0.000e+00
  2600  9.9349e-02  4.3931e-03  1.2315e-02  9.9349e-02  +2.01354111e+03  +2.06376581e+03     39.68    103.856  0  0.000e+00  0.000e+00
  2625  1.0280e-01  4.4008e-03  1.3509e-02  1.0280e-01  +2.01286796e+03  +2.06801032e+03     38.78    104.846  0  0.000e+00  0.000e+00
  2650  9.5149e-02  4.3985e-03  1.2483e-02  9.5149e-02  +2.01210109e+03  +2.06298347e+03     39.53    105.829  0  0.000e+00  0.000e+00
  2675  9.5780e-02  4.4177e-03  1.3313e-02  9.5780e-02  +2.01159057e+03  +2.06588699e+03     39.84    106.822  0  0.000e+00  0.000e+00
  2700  9.9321e-02  4.4042e-03  1.2231e-02  9.9321e-02  +2.01109775e+03  +2.06091312e+03     40.38    107.810  0  0.000e+00  0.000e+00
  2725  9.9602e-02  4.4164e-03  1.3261e-02  9.9602e-02  +2.01041620e+03  +2.06446746e+03     38.89    108.793  0  0.000e+00  0.000e+00
  2750  1.1064e-01  4.4721e-03  1.1928e-02  1.1064e-01  +2.00975421e+03  +2.05829012e+03     40.23    109.778  0  0.000e+00  0.000e+00
  2775  1.2710e-01  4.4617e-03  1.2705e-02  1.2710e-01  +2.00923706e+03  +2.06096040e+03     39.33    110.766  0  0.000e+00  0.000e+00
  2800  1.3131e-01  4.4807e-03  1.2240e-02  1.3131e-01  +2.00858997e+03  +2.05838154e+03     38.77    111.754  0  0.000e+00  0.000e+00
  2825  1.3040e-01  4.5231e-03  1.2091e-02  1.3040e-01  +2.00812303e+03  +2.05728818e+03     39.23    112.743  0  0.000e+00  0.000e+00
  2850  1.4299e-01  4.5241e-03  1.1991e-02  1.4299e-01  +2.00740330e+03  +2.05613975e+03     40.16    113.728  0  0.000e+00  0.000e+00
  2875  1.4432e-01  4.5144e-03  1.3315e-02  1.4432e-01  +2.00701737e+03  +2.06120077e+03     38.09    114.709  0  0.000e+00  0.000e+00
  2900  1.5006e-01  4.5263e-03  1.1328e-02  1.5006e-01  +2.00625086e+03  +2.05223513e+03     38.51    115.700  0  0.000e+00  0.000e+00
  2925  1.4342e-01  4.5288e-03  1.2236e-02  1.4342e-01  +2.00587267e+03  +2.05558237e+03     39.13    116.689  0  0.000e+00  0.000e+00
  2950  1.5691e-01  4.5071e-03  1.1372e-02  1.5691e-01  +2.00531852e+03  +2.05146480e+03     39.52    117.684  0  0.000e+00  0.000e+00
  2975  1.5020e-01  4.5048e-03  1.2312e-02  1.5020e-01  +2.00479597e+03  +2.05478836e+03     38.84    118.677  0  0.000e+00  0.000e+00
  3000  1.5056e-01  4.4783e-03  1.0517e-02  1.5056e-01  +2.00422692e+03  +2.04684226e+03     39.08    119.668  0  0.000e+00  0.000e+00
  3025  1.4806e-01  4.4887e-03  1.0351e-02  1.4806e-01  +2.00371145e+03  +2.04563514e+03     38.76    120.657  0  0.000e+00  0.000e+00
  3050  1.5172e-01  4.4755e-03  1.0106e-02  1.5172e-01  +2.00305615e+03  +2.04396350e+03     41.43    121.647  0  0.000e+00  0.000e+00
  3075  1.5740e-01  4.4966e-03  1.0833e-02  1.5740e-01  +2.00261078e+03  +2.04648580e+03     39.98    122.637  0  0.000e+00  0.000e+00
  3100  1.5168e-01  4.4941e-03  1.0780e-02  1.5168e-01  +2.00209542e+03  +2.04574160e+03     39.52    123.622  0  0.000e+00  0.000e+00
  3125  1.4871e-01  4.5232e-03  1.1553e-02  1.4871e-01  +2.00169623e+03  +2.04850102e+03     39.06    124.611  0  0.000e+00  0.000e+00
  3150  1.4794e-01  4.5491e-03  1.0996e-02  1.4794e-01  +2.00109092e+03  +2.04559841e+03     39.86    125.593  0  0.000e+00  0.000e+00
  3175  1.4745e-01  4.5623e-03  1.2484e-02  1.4745e-01  +2.00067887e+03  +2.05127588e+03     38.54    126.578  0  0.000e+00  0.000e+00
  3200  1.5114e-01  4.5924e-03  1.0256e-02  1.5114e-01  +2.00027435e+03  +2.04174141e+03     39.34    127.566  0  0.000e+00  0.000e+00
  3225  1.3397e-01  4.6105e-03  1.1945e-02  1.3397e-01  +1.99967139e+03  +2.04803381e+03     40.63    128.558  0  0.000e+00  0.000e+00
  3250  1.3363e-01  4.6094e-03  1.0481e-02  1.3363e-01  +1.99940480e+03  +2.04177253e+03     39.96    129.542  0  0.000e+00  0.000e+00
  3275  1.3360e-01  4.6420e-03  1.1326e-02  1.3360e-01  +1.99878027e+03  +2.04458493e+03     39.89    130.531  0  0.000e+00  0.000e+00
  3300  1.2643e-01  4.6312e-03  1.0767e-02  1.2643e-01  +1.99843776e+03  +2.04195231e+03     38.71    131.521  0  0.000e+00  0.000e+00
  3325  1.1521e-01  4.6829e-03  1.0630e-02  1.1521e-01  +1.99786600e+03  +2.04080904e+03     39.21    132.602  0  0.000e+00  0.000e+00
  3350  1.1210e-01  4.6663e-03  1.0525e-02  1.1210e-01  +1.99745184e+03  +2.03995739e+03     38.57    133.590  0  0.000e+00  0.000e+00
  3375  9.7149e-02  4.6994e-03  1.1140e-02  9.7149e-02  +1.99716899e+03  +2.04217743e+03     39.31    134.579  0  0.000e+00  0.000e+00
  3400  8.0479e-02  4.6575e-03  9.2312e-03  8.0479e-02  +1.99658639e+03  +2.03380089e+03     38.38    135.569  0  0.000e+00  0.000e+00
  3425  7.4306e-02  4.6604e-03  1.1243e-02  7.4306e-02  +1.99603738e+03  +2.04144343e+03     38.85    136.557  0  0.000e+00  0.000e+00
  3450  6.0298e-02  4.6839e-03  9.2083e-03  6.0298e-02  +1.99573720e+03  +2.03284282e+03     39.18    137.540  0  0.000e+00  0.000e+00
  3475  7.5514e-02  4.6699e-03  1.0845e-02  7.5514e-02  +1.99516293e+03  +2.03892426e+03     38.80    138.525  0  0.000e+00  0.000e+00
  3500  7.3731e-02  4.7092e-03  9.5158e-03  7.3731e-02  +1.99494622e+03  +2.03328745e+03     38.76    139.521  0  0.000e+00  0.000e+00
