# max-cut SDP  problem=data/G55mc.sdp n=5000 m=5000 F0_nnz=17467  mode=baseline16 sigma=1 eta_tol=0 window=0.025 gamma=1.1 symmetrize=1  ||C||_F=2.094541e+02
# iter  pinf        dinf        gap         eta         obj_primal      obj_dual        proj_ms  cum_proj_s  deflated  eps_sym_raw  eps_sym_used
  1525  1.6649e-03  2.6561e-03  1.9008e-03  2.6561e-03  -2.19849053e+04  -2.19014831e+04     17.89     27.584  0  0.000e+00  0.000e+00
  1550  1.6803e-03  2.6481e-03  1.6965e-03  2.6481e-03  -2.19885550e+04  -2.19140731e+04     17.20     28.028  0  0.000e+00  0.000e+00
  1575  1.6649e-03  2.6572e-03  1.8164e-03  2.6572e-03  -2.19868662e+04  -2.19071360e+04     17.11     28.469  0  0.000e+00  0.000e+00
  1600  1.6565e-03  2.6551e-03  1.7186e-03  2.6551e-03  -2.19904485e+04  -2.19149903e+04     17.28     28.907  0  0.000e+00  0.000e+00
  1625  1.6752e-03  2.6589e-03  1.7519e-03  2.6589e-03  -2.19902803e+04  -2.19133617e+04     17.61     29.355  0  0.000e+00  0.000e+00
  1650  1.6732e-03  2.6938e-03  1.7825e-03  2.6938e-03  -2.19928123e+04  -2.19145455e+04     17.36     29.793  0  0.000e+00  0.000e+00
  1675  1.6857e-03  2.6608e-03  1.7278e-03  2.6608e-03  -2.19926317e+04  -2.19167622e+04     17.17     30.226  0  0.000e+00  0.000e+00
  1700  1.6808e-03  2.6463e-03  1.6415e-03  2.6463e-03  -2.19947505e+04  -2.19226575e+04     17.18     30.665  0  0.000e+00  0.000e+00
  1725  1.6721e-03  2.6310e-03  1.7074e-03  2.6310e-03  -2.19950044e+04  -2.19200223e+04     17.51     31.109  0  0.000e+00  0.000e+00
  1750  1.6789e-03  2.6452e-03  1.5954e-03  2.6452e-03  -2.19967629e+04  -2.19266851e+04     17.15     31.545  0  0.000e+00  0.000e+00
  1775  1.6532e-03  2.6600e-03  1.7335e-03  2.6600e-03  -2.19971944e+04  -2.19210583e+04     17.85     31.981  0  0.000e+00  0.000e+00
  1800  1.6703e-03  2.6062e-03  1.6338e-03  2.6062e-03  -2.19987662e+04  -2.19269989e+04     17.60     32.425  0  0.000e+00  0.000e+00
  1825  1.6657e-03  2.6302e-03  1.7260e-03  2.6302e-03  -2.20007465e+04  -2.19249272e+04     17.72     32.866  0  0.000e+00  0.000e+00
  1850  1.6295e-03  2.6024e-03  1.4917e-03  2.6024e-03  -2.20013004e+04  -2.19357578e+04     18.56     33.310  0  0.000e+00  0.000e+00
  1875  1.6116e-03  2.5780e-03  1.6934e-03  2.5780e-03  -2.20004695e+04  -2.19260808e+04     19.93     33.847  0  0.000e+00  0.000e+00
  1900  1.5966e-03  2.5667e-03  1.5911e-03  2.5667e-03  -2.20050476e+04  -2.19351307e+04     17.57     34.722  0  0.000e+00  0.000e+00
  1925  1.5609e-03  2.5800e-03  1.5882e-03  2.5800e-03  -2.20019968e+04  -2.19322204e+04     17.08     35.155  0  0.000e+00  0.000e+00
  1950  1.6025e-03  2.5615e-03  1.6537e-03  2.5615e-03  -2.20063471e+04  -2.19336811e+04     17.55     35.600  0  0.000e+00  0.000e+00
  1975  1.6120e-03  2.5632e-03  1.5036e-03  2.5632e-03  -2.20050605e+04  -2.19389846e+04     18.20     36.043  0  0.000e+00  0.000e+00
  2000  1.6000e-03  2.5558e-03  1.5056e-03  2.5558e-03  -2.20065864e+04  -2.19404174e+04     17.91     36.481  0  0.000e+00  0.000e+00
  2025  1.6263e-03  2.6057e-03  1.5800e-03  2.6057e-03  -2.20063114e+04  -2.19368788e+04     17.69     36.917  0  0.000e+00  0.000e+00
  2050  1.5935e-03  2.6107e-03  1.6031e-03  2.6107e-03  -2.20101489e+04  -2.19396912e+04     17.77     37.361  0  0.000e+00  0.000e+00
  2075  1.6095e-03  2.5944e-03  1.4684e-03  2.5944e-03  -2.20095012e+04  -2.19449552e+04     17.69     37.801  0  0.000e+00  0.000e+00
